mitigation_id,risk_id,project_id,mitigation_strategy,implementation_status
1,1,5,,
2,1,5,,
3,3,8,,
4,3,8,,
5,3,8,,
6,7,15,,
7,7,15,,
8,7,15,,
9,7,15,,
10,10,27,,
11,10,27,,
12,10,27,,
