risk_id,project_id,risk_area,risk_description,severity,affected_groups
1,5,,,,
2,8,,,,
3,8,,,,
4,15,,,,
5,15,,,,
6,15,,,,
7,15,,,,
8,27,,,,
9,27,,,,
10,27,,,,
