submission_id,is_trade_secret_score,is_hard_to_explain_score
3,0,0
8,0,0
9,0,0
12,3,0
21,3,0
22,0,0
28,3,0
32,0,0
35,0,0
38,0,0
47,0,0
48,0,0
53,0,0
54,3,0
59,0,0
60,0,0
64,0,0
68,0,0
75,0,0
83,3,3
86,0,0
87,0,0
89,0,0
91,0,0
95,0,3
97,3,3
99,3,3
106,0,0
109,0,0
112,3,0
