submission_id,new_policy_authority_score
3,0
8,0
9,0
12,0
21,0
22,0
28,0
32,0
35,0
38,0
47,2
48,0
53,0
54,2
59,0
60,0
64,0
68,0
75,0
83,2
86,0
87,0
89,0
91,0
95,0
97,0
99,0
106,0
109,0
112,0
