id,dataset_id,url,filename,status,detail
71,b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80,https://open.canada.ca/data/dataset/b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80/resource/300a0d46-f5d5-4bfb-afef-68a6476daee0/download/tfwp_aia_en_0206_v3.pdf,tfwp_aia_en_0206_v3.pdf,ok,"73,639 bytes"
72,b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80,https://open.canada.ca/data/dataset/b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80/resource/324b202e-6160-43bd-a54f-7721b173c1f9/download/tfwp_opengovernmentportal_en.json,tfwp_opengovernmentportal_en.json,ok,"11,562 bytes"
73,b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80,https://open.canada.ca/data/dataset/b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80/resource/9e000e08-5a46-4bba-8cfa-69346fd8e165/download/tfwp_aia_fr_0206_v3.pdf,tfwp_aia_fr_0206_v3.pdf,ok,"83,264 bytes"
74,b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80,https://open.canada.ca/data/dataset/b3dc23b6-8c06-4c45-bc65-4cb4ec30bf80/resource/c73e91b6-804d-4dad-8f41-9fe3cf87bb9c/download/tfwp_opengovernmentportal_fr.json,tfwp_opengovernmentportal_fr.json,ok,"13,947 bytes"
75,b4a417f7-5040-4328-9863-bb8bbb8568c3,https://open.canada.ca/data/dataset/b4a417f7-5040-4328-9863-bb8bbb8568c3/resource/073492ef-c9a2-4e9c-b9f7-92f1140ce62e/download/iec-wp-eligibility-model-gba-plus-analysis-public-en-accessibility-check.pdf,iec-wp-eligibility-model-gba-plus-analysis-public-en-accessibility-check.pdf,ok,"1,002,810 bytes"
76,b4a417f7-5040-4328-9863-bb8bbb8568c3,https://open.canada.ca/data/dataset/b4a417f7-5040-4328-9863-bb8bbb8568c3/resource/60d4bb68-5756-4bb4-98ef-468103bec4bd/download/examen-par-les-pairs-du-modele-de-recevabilite-du-permis-de-travail-dexperience-internationale-c.pdf,examen-par-les-pairs-du-modele-de-recevabilite-du-permis-de-travail-dexperience-internationale-c.pdf,ok,"1,069,867 bytes"
77,b4a417f7-5040-4328-9863-bb8bbb8568c3,https://open.canada.ca/data/dataset/b4a417f7-5040-4328-9863-bb8bbb8568c3/resource/93efa24b-3af9-49d3-b645-aad3700c8e42/download/aia-iec-applications-en.pdf,aia-iec-applications-en.pdf,ok,"101,029 bytes"
78,b4a417f7-5040-4328-9863-bb8bbb8568c3,https://open.canada.ca/data/dataset/b4a417f7-5040-4328-9863-bb8bbb8568c3/resource/999f12d3-f362-47e2-80a8-e80c997c4369/download/iec-aia-results.json,iec-aia-results.json,ok,"43,003 bytes"
79,b4a417f7-5040-4328-9863-bb8bbb8568c3,https://open.canada.ca/data/dataset/b4a417f7-5040-4328-9863-bb8bbb8568c3/resource/9d487b79-fe1b-47fe-b7b6-01666a93126c/download/aia-iec-applications-fr.pdf,aia-iec-applications-fr.pdf,ok,"115,394 bytes"
80,b4a417f7-5040-4328-9863-bb8bbb8568c3,https://open.canada.ca/data/dataset/b4a417f7-5040-4328-9863-bb8bbb8568c3/resource/b11b3a60-841c-4fdb-b5fe-1689d1eed570/download/iec-wp-eligibility-model-gba-plus-analysis-public-fr-accessibility-check.pdf,iec-wp-eligibility-model-gba-plus-analysis-public-fr-accessibility-check.pdf,ok,"1,324,177 bytes"
81,b4a417f7-5040-4328-9863-bb8bbb8568c3,https://open.canada.ca/data/dataset/b4a417f7-5040-4328-9863-bb8bbb8568c3/resource/e8f6ca6b-c2ca-42c7-97d8-394fe7663382/download/peer-review-of-the-international-experience-canada-work-permit-eligibility-model-executive-summa.pdf,peer-review-of-the-international-experience-canada-work-permit-eligibility-model-executive-summa.pdf,ok,"994,456 bytes"
82,b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d,https://open.canada.ca/data/dataset/b92cbf7b-3b1c-4b02-a219-ce5b9bdb030d/resource/37f7ffe5-3a8a-49ab-9a7a-6fde6266703c/download/en_peer-review-of-the-automation-to-process-cuaet-tr-applications-executive-summary.pdf,en_peer-review-of-the-automation-to-process-cuaet-tr-applications-executive-summary.pdf,ok,"316,607 bytes"
