Number,Question,Selected answer
,42b: Data and Information Management,"1: Yes
2: No"
,42c: Policy,"1: Yes
2: No"
,42d: Human Resources,"1: Yes
2: No"
,42e: IT/Cybersecurity,"1: Yes
2: No"
,42f: Legal,"1: Yes
2: No"
,42g: Service Delivery,"1: Yes
2: No"
,42h: Privacy,"1: Yes
2: No"
42.1,(Only if legal (f) is yes) Has a formal opinion been issued?,"1: Yes
2: No"
42.2,(Only if legal (f) is yes) Have the relevant areas of legislation been identified during the scoping phase?,"1: Yes
2: No"
43,Have you developed Key Performance Indicators and benchmarks to measure and improve the system’s performance?,"1: Yes
2: No"
44,"Are you specifically measuring impacts (e.g. social, economic, environmental) that may result from the system?","1: Yes
2: No"
44.1,Describe how you are measuring these impacts,Free Text
45,Have you presented a concept case to the Government of Canada Enterprise Architecture Review Board?,"1: Yes
2: No
3: Not applicable"
46,Have you conducted a Security Assessment and Authorization?,"1: Yes
2: No
3: Not applicable"
46.1,Has full authority been granted under the SA&A?,"1: Yes
2: No
3: Not applicable"
47,"Is there a process in place to grant, monitor, and revoke access permission?","1: Yes
2: No"
48,Is the system used by a different part of the organization than the ones who developed it?,"1: Yes
2: No"
49,Did you develop training programs or documentation to ensure that the system is used effectively and properly?,"1: Yes
2: No"
49.1,Do you have means to ensure that training requirements are being met?,"1: Yes
2: No"
50,Have you developed an external communications plan?,"1: Yes
2: No"
51,Have you developed an internal communications plan to address any potential changes to work practices for officers?,"1: Yes
2: No"
52,Do you have a mechanism to capture feedback by users of the system?,"1: Yes
2: No"
53,Do you have a recourse process planned or established for clients that wish to challenge the decision?,"1: Yes
2: No"
,,
,,
